id,dificuldade,tag,questao,opcao1,opcao2,opcao3,opcao4,opcaoCorreta,tipo,src,informacaoAdicional,fonteInfo
1,,"família, vocabulário",Como se diz 'irmã'?,brother,sister,aunt,uncle,sister,texto,-,,
2,,greetings,"Como se diz 'Oi, como vai você?'?","Hi, how you are?","Hi, how is she?","Bye, how are you?","Hi, how are you?","Hi, how are you?",texto,-,,
3,,"diálogo, greetings","Complete o diálogo com a resposta correta: P1 - 'Hi, I'm Paula, nice to meet you!' ","P2 - 'Hi Paula, I'm Ana, nice to meet you too!'",P2 - 'I'm sorry',"P2 - 'Bye, I'm Paula'",P2 - 'I like chocolate',"P2 - 'Hi Paula, I'm Ana, nice to meet you too!'",texto,-,,
4,,"Present perfect, viagem",Como seria 'Você já foi a Paris?' em inglês?,Did you go to Paris?,Do you like Paris?,Have you ever been to Paris?,Do you go to Paris?,Have you ever been to Paris?,texto,-,"Usamos este tempo quando falamos de um evento que começou no passado e, de alguma forma, ainda influencia o presente. Esta influência pode vir de algo que você vivenciou e que ainda tem impacto na sua vida, por exemplo, como também pode se referir a uma tarefa que ainda está incompleta. Exemplo - Uma experiência: “I have been to India.” (Eu estive na Índia.)",https://englishlive.ef.com/pt-br/blog/gramatica-em-ingles-present-perfect-x-past-perfect/
5,,Future,A frase 'I will travel' está em qual tempo verbal? ,Simple Past,Simple Present,Future,Past Perfect,Future,texto,-,"Expresser o tempo futuro em inglês é muito simples, você precisa da pessoa + will + verbo no infinitivo.",https://www.mundovestibular.com.br/articles/7574/1/Will-Futuro-em-Ingles/Paacutegina1.html
6,Fácil pra média,Past,Simple Past do verbo 'eat' ?,eated,eaten,eats,eat,ate,texto,,"O verbo Eat é um verbo irregular, sendo assim sua conjugação no passado não segue a regra geral de formação do Simple past",
7,Fácil,Vocabulário,plural de árvore em inglês,threes,tries,thries,tres,trees,texto,,"O plural de tree, que é a tradução de árvore, segue a regra geral de formação de plurais",
8,Máxima,Vocabulário,Qual o sentido da palavra 'fierce' na frase: How was the party last night? A: Fierce!.,Feroz,"Assustador, Amendrontador",Selvagem,Cruel,"Excelente, Muito boa",texto,,"A palavra Fierce também pode ser usado para expressar que alguma coisa foi muito boa, excelente, ou como dizemos em português ""foi animal"".",
9,,Vocabulário,plural de 'this',thats,this,thies,theses,these,texto,,"O plural de this, que significa este/esta é theses ",
10,,Vocabulário,A palavra Herd não pode designar um coletivo de qual destes animais?,Ovelhas,Búfalos,Elefantes,Cavalos,Lobos,texto,,"Herd pode ser traduzido como rebanho ou manda, e o coletivo de lobos é alcatéia",
11,,Vocabulário,"Qual o significado da palavra 'Blanket' na frase ' The baby was cold, so his mother put a blanket over him.'",Cobertura,lençol,travesseiro,tapete,cobertor,texto,,"No contexto a palavra tem o sentido de cobertor: ""O bebê estava com frio, então sua mãe colocou um cobertor sobre ele.""",